Character                 Codeword      Frequency
 '\ufeff'     11010101111110010010        0.0001%
     '\n'                   110011        1.8813%
      'T'               1101010100        0.1142%
      'h'                    11101        4.3759%
      'e'                     1111        9.0769%
      ' '                       10       23.7181%
      'P'              00011001001        0.0382%
      'r'                    11100         4.302%
      'o'                     0011        5.3034%
      'j'               0001101001        0.0824%
      'c'                   110001        1.7273%
      't'                     0110        6.1029%
      'G'              00011001000        0.0365%
      'u'                   110100        1.9902%
      'n'                     0010        4.9542%
      'b'                  1101011        1.0634%
      'g'                   000111          1.31%
      'E'               1100001100        0.1098%
      'B'                000110001        0.1437%
      'k'                 11000010        0.4178%
      'f'                   011110        1.5697%
      'i'                     0000        4.6772%
      'd'                    01011        2.8696%
      'a'                     0100        5.4431%
      ','                   000101        1.1963%
      'y'                   011111        1.6319%
      'J'              00011010110        0.0425%
      'A'               0001100001         0.069%
      's'                    11011        4.2914%
      'w'                   011101         1.537%
      'l'                    01010        2.7434%
      'm'                   110010        1.7276%
      'v'                  0111000        0.7496%
      '.'                  1100000        0.8245%
      'Y'              01110010110        0.0482%
      'p'                   000100        1.0889%
      '-'              01110011110        0.0523%
      'L'               0111001110         0.102%
      ':'             000110011110        0.0199%
      'R'             000110101110        0.0213%
      'D'               0001100110        0.0764%
      '2'           01110011111001        0.0066%
      '6'          110101011111001        0.0035%
      '0'          110101011111101        0.0044%
      '8'          000110101111001        0.0031%
      '['      1101010111111001011        0.0003%
      '#'      1101010111111001110        0.0003%
      '1'            0001101011111        0.0129%
      '3'           01110011111000        0.0063%
      '4'           00011010111101        0.0061%
      ']'      1101010111111000000        0.0003%
      'U'           11010101111111         0.009%
      'N'              00011001110        0.0384%
      '9'          000110101111000        0.0028%
      'C'               0111001010        0.0938%
      'F'             011100111111        0.0268%
      '*'          110101011111010        0.0036%
      'S'               0001100101        0.0752%
      'O'             110101011110        0.0315%
      'H'               0111001000        0.0908%
      'I'                 00011011        0.3448%
      'K'            0111001111101        0.0131%
      'V'          110101011111011        0.0039%
      'W'               0001101010        0.0844%
      'M'                110000111        0.2222%
      '7'          000110011111100        0.0024%
      '5'           00011001111111        0.0058%
      'x'               1100001101        0.1115%
      '“'                110101001        0.2323%
      '”'                110101000        0.2257%
      '?'              11010101110        0.0597%
      ';'                011100110        0.1983%
      '_'               1101010101        0.1196%
      '!'               0001100000        0.0643%
      'z'               1101010110        0.1205%
      'q'               0001101000        0.0821%
      '’'               0111001001        0.0937%
      '—'              01110010111        0.0509%
      '‘'          000110011111101        0.0024%
      'ê'        11010101111110001         0.001%
      'à'       110101011111100110        0.0005%
      'Z'      1101010111111001111        0.0004%
      '('           00011001111101        0.0049%
      ')'           00011001111100        0.0049%
      'é'     11010101111110010011        0.0001%
      '/'          110101011111000        0.0034%
      '%'     11010101111110010100        0.0001%
      'X'      1101010111111000010        0.0003%
      'Q'     11010101111110010101        0.0001%
      "'"      1101010111111000011        0.0003%
      '@'      1101010111111001000        0.0003%
      '$'      1101010111111000001        0.0003%

Average Codeword Length: 4.319 bits
Original Size (bits): 6205928
Encoding Size (bits): 3350412
Compression Ratio: 53.987%
